  0.3800000      0.9383227      0.8008861     -0.5576400    
  0.3900000      0.9404096      0.7980410     -0.5517216    
  0.4000000      0.9425778      0.7953252     -0.5451230    
  0.4100000      0.9447965      0.7927712     -0.5396188    
  0.4200000      0.9467160      0.7901579     -0.5367339    
  0.4300000      0.9486063      0.7876610     -0.5329677    
  0.4400000      0.9505184      0.7853302     -0.5306855    
  0.4500000      0.9524168      0.7831048     -0.5283365    
  0.4600000      0.9541100      0.7807504     -0.5278482    
  0.4700000      0.9556808      0.7785279     -0.5275806    
  0.4800000      0.9572318      0.7763937     -0.5273741    
  0.4900000      0.9587499      0.7743360     -0.5271260    
  0.5000000      0.9602215      0.7723532     -0.5270138    
  0.5100000      0.9616756      0.7704405     -0.5271874    
  0.5200000      0.9631011      0.7685804     -0.5273893    
  0.5300000      0.9644751      0.7668033     -0.5280586    
  0.5400000      0.9658206      0.7650602     -0.5286525    
  0.5500000      0.9671299      0.7633724     -0.5294970    
  0.5600000      0.9683679      0.7617067     -0.5307191    
  0.5700000      0.9695474      0.7600282     -0.5319671    
  0.5800000      0.9707001      0.7583866     -0.5335923    
  0.5900000      0.9718440      0.7567685     -0.5355407    
  0.6000000      0.9729099      0.7551976     -0.5372968    
  0.6100000      0.9739933      0.7536321     -0.5396293    
  0.6200000      0.9750039      0.7521073     -0.5417497    
  0.6300000      0.9759735      0.7506129     -0.5439350    
  0.6400000      0.9769141      0.7491392     -0.5462588    
  0.6500000      0.9778447      0.7476700     -0.5488840    
  0.6600000      0.9787147      0.7462407     -0.5514225    
  0.6700000      0.9796013      0.7448004     -0.5545564    
  0.6799999      0.9804392      0.7433841     -0.5575388    
  0.6900000      0.9812661      0.7419725     -0.5608921    
  0.7000000      0.9820716      0.7405707     -0.5644570    
  0.7100000      0.9828987      0.7393847     -0.5674396    
  0.7200000      0.9836808      0.7380735     -0.5711229    
  0.7300000      0.9843384      0.7366848     -0.5745925    
  0.7400000      0.9850407      0.7354481     -0.5780715    
  0.7500000      0.9857838      0.7342381     -0.5822714    
  0.7600000      0.9863883      0.7328603     -0.5862823    
  0.7700000      0.9870121      0.7314894     -0.5909417    
  0.7800000      0.9877049      0.7303970     -0.5953967    
  0.7900000      0.9882605      0.7290735     -0.5999113    
  0.8000000      0.9888429      0.7278925     -0.6044166    
  0.8099999      0.9893968      0.7267250     -0.6089677    
  0.8200000      0.9898821      0.7253731     -0.6138104    
  0.8300000      0.9903418      0.7240331     -0.6186216    
  0.8400000      0.9907615      0.7227179     -0.6230281    
  0.8500000      0.9911879      0.7214640     -0.6276790    
  0.8600000      0.9916909      0.7203524     -0.6333828    
  0.8700000      0.9921384      0.7192707     -0.6385223    
  0.8800000      0.9925526      0.7181208     -0.6438410    
  0.8900000      0.9928926      0.7168174     -0.6487141    
  0.9000000      0.9932781      0.7156504     -0.6543395    
  0.9100000      0.9936308      0.7145566     -0.6594441    
  0.9200000      0.9939227      0.7132647     -0.6643020    
  0.9300000      0.9942220      0.7120543     -0.6693328    
  0.9400000      0.9945226      0.7109824     -0.6743239    
  0.9500000      0.9947789      0.7097778     -0.6790385    
  0.9600000      0.9950250      0.7084866     -0.6839955    
  0.9700000      0.9952655      0.7073904     -0.6885251    
  0.9800000      0.9955034      0.7063177     -0.6932519    
  0.9900000      0.9957061      0.7050533     -0.6977665    
   1.000000      0.9958918      0.7037914     -0.7020624    
   1.010000      0.9960931      0.7027086     -0.7065609    
   1.020000      0.9962761      0.7016387     -0.7107616    
   1.030000      0.9964568      0.7005479     -0.7151505    
   1.040000      0.9966210      0.6994692     -0.7192453    
   1.050000      0.9967570      0.6982539     -0.7229139    
   1.060000      0.9968704      0.6970301     -0.7258859    
   1.070000      0.9970018      0.6958804     -0.7295396    
   1.080000      0.9971364      0.6947820     -0.7333542    
   1.090000      0.9972377      0.6937290     -0.7358882    
   1.100000      0.9973495      0.6926384     -0.7391773    
   1.110000      0.9974667      0.6915224     -0.7429637    
   1.120000      0.9975516      0.6904552     -0.7453135    
   1.130000      0.9976499      0.6893433     -0.7485049    
   1.140000      0.9977344      0.6881894     -0.7513079    
   1.150000      0.9978104      0.6869385     -0.7540261    
